"ИД";"УРОВЕНЬ";"ДАТА_ГОС";"КВАЛ_ИД";"НС_ИД";"ТС_ИД";"НАПС_ИД";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"ПРИМЕЧАНИЕ"
2073;3;2005-02-01 00:00:00.000;3;361;3;3601;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2809;3;2005-02-01 00:00:00.000;1;332;4;3601;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2802;3;2005-02-01 00:00:00.000;1;352;4;3601;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2806;3;2005-02-01 00:00:00.000;1;360;4;3608;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2072;3;2005-02-01 00:00:00.000;3;371;3;3601;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2767;2;2005-02-01 00:00:00.000;18;378;2;3599;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2070;3;2005-02-01 00:00:00.000;20;378;3;3599;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2020;3;2005-02-01 00:00:00.000;20;379;6;2070;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2900;3;2005-02-01 00:00:00.000;12;387;4;3567;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2801;3;2005-02-01 00:00:00.000;1;399;4;3594;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2075;3;2005-02-01 00:00:00.000;3;403;3;3594;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2795;3;2005-02-01 00:00:00.000;1;406;4;3601;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2823;3;2005-02-01 00:00:00.000;1;410;4;3608;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2006;3;2005-02-01 00:00:00.000;1;413;4;3605;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3243;3;2005-02-01 00:00:00.000;1;442;4;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3181;3;2005-02-01 00:00:00.000;21;364;4;3572;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
2797;3;2005-02-01 00:00:00.000;1;370;4;3601;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3474;3;2005-02-01 00:00:00.000;3;509;3;3601;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3500;3;2008-09-01 00:00:00.000;3;674;6;2074;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
