"ИД";"ЧЛВК_ИД";"ПРИЗНАК";"СОСТОЯНИЕ";"НАЧАЛО";"КОНЕЦ";"ПЛАН_ИД";"ГРУППА";"П_ПРКОК_ИД";"ВИД_ОБУЧ_ИД";"ПРИМЕЧАНИЕ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"КОНЕЦ_ПО_ПРИКАЗУ";"ВМЕСТО";"В_СВЯЗИ_С";"ТЕКСТ"
71511;134268;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91201;
71512;134470;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91203;
71513;134504;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91204;
71514;134552;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91205;
71515;134624;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91207;
71516;134718;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91208;
71517;134726;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91209;
58549;116622;диплом;утвержден;2004-02-01 00:00:00.000;2004-05-04 00:00:00.000;1685;"6120";186534;1;отлично;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;75705;
58551;116472;диплом;утвержден;2004-02-01 00:00:00.000;2004-05-04 00:00:00.000;1685;"6120";186534;1;отлично, с отличием;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;79305;
71518;132631;обучен;утвержден;2004-09-01 00:00:00.000;2005-05-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;85632;
71519;133214;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91202;
71520;133348;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1101";201343;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91198;
60262;126602;академ;утвержден;2004-05-01 00:00:00.000;2004-08-22 00:00:00.000;1726;"2102";191859;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;70621;
60265;120546;обучен;утвержден;2004-04-27 00:00:00.000;2004-08-31 00:00:00.000;1695;"6101";191861;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;85586;
60267;115245;продлен;утвержден;2004-04-27 00:00:00.000;2008-08-31 00:00:00.000;1695;"6101";191862;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;170008;
60543;119323;академ;утвержден;2004-04-22 00:00:00.000;2004-10-31 00:00:00.000;1909;"4538";193391;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-02-08 00:00:00.000;;79943;
